TotalKg,Sex,Equipment,Age,BodyweightKg,Weigh
190,F,Single-ply,52,47.26,24h
247.5,F,Single-ply,34,51.26,24h
195,F,Raw,13,56,24h
197.5,F,Single-ply,35,53.89,24h
235,M,Single-ply,65,66.68,24h
237.5,F,Raw,42,63.96,24h
275,F,Raw,35,73.94,24h
322.5,M,Raw,47,77.29,24h
147.5,F,Single-ply,41,87.32,24h
277.5,F,Single-ply,50,96.8,24h
292.5,F,Raw,23,101.02,24h
78,F,Raw,7,32.11,24h
165,F,Raw,10,34.56,24h
171.5,F,Raw,12,39.92,24h
197.5,F,Raw,12,42.46,24h
102.5,F,Raw,10,44,24h
215,F,Raw,21,38.28,24h
263.5,F,Raw,18,47.54,24h
127.5,F,Raw,61,45.27,24h
127.5,F,Raw,61,45.27,24h
145,F,Raw,46,45,24h
185,F,Raw,54,49.08,24h
185,F,Raw,54,49.08,24h
230,F,Raw,52,53.98,24h
301,F,Raw,28,57.88,24h
359,F,Raw,16,57.52,24h
230,F,Raw,28,64.41,24h
392.5,F,Raw,16,72.3,24h
390,F,Raw,30,73,24h
300,F,Raw,29,74.57,24h
252.5,F,Raw,49,86.09,24h
350,F,Raw,45,89.99,24h
107.5,M,Raw,9,26.13,24h
567.5,M,Raw,18,67.13,24h
257.5,M,Raw,13,66.68,24h
460,M,Raw,58,67.13,24h
460,M,Raw,58,67.13,24h
385,M,Raw,65,66.68,24h
385,M,Raw,65,66.68,24h
460,M,Raw,57,66.68,24h
460,M,Raw,57,66.68,24h
290,M,Raw,41,74.93,24h
290,M,Raw,74.5,74.93,24h
290,M,Raw,21.5,74.93,24h
290,M,Raw,21.5,74.93,24h
566,M,Raw,37,73.39,24h
566,M,Raw,37,73.39,24h
355,M,Raw,13,74.57,24h
415,M,Raw,78,80.2,24h
380,M,Raw,14,81.28,24h
375,M,Raw,73,75.39,24h
348,M,Raw,43,86.82,24h
348,M,Raw,43,86.82,24h
402.5,M,Raw,73,86.64,24h
547.5,M,Raw,54,89.18,24h
680,M,Raw,34,88.45,24h
602.5,M,Raw,18,87.82,24h
532.5,M,Raw,29,89.9,24h
402.5,M,Raw,70,89.99,24h
572.5,M,Raw,59,93.53,24h
572.5,M,Raw,59,93.53,24h
292.5,M,Raw,12,90.36,24h
630,M,Raw,29,95.71,24h
535,M,Raw,65,94.53,24h
480,M,Raw,65,94.89,24h
490,M,Raw,42,93.08,24h
597.5,M,Raw,47,93.08,24h
597.5,M,Raw,47,93.08,24h
637.5,M,Raw,27,100.02,24h
670,M,Raw,43,106.68,24h
670,M,Raw,43,106.68,24h
